job_ID;top_words
862;['accogl', 'sport', 'rend', 'ogni', 'client']
937;['adatto', 'passione', 'insegna', 'potrai', 'layout']
938;['esser', 'omnicanal', 'decathlon', 'prodott', 'promotor']
940;['esser', 'omnicanal', 'decathlon', 'prodott', 'promotor']
665;['stazion', 'impiant', 'meccan', 'italiane', 'inferior']
667;['pubblicitar', 'stazion', 'inferior', 'statistica', 'entrar']
669;['punt', 'vend', 'retail', 'approcc', 'movimento']
689;['dirett', 'vivra', 'nutr', 'preferibilmente', 'privileg']
690;['digital', 'offline', 'ha', 'pr', 'web']
797;['statist', 'vend', 'commercial', 'matemat', 'ordin']
798;['produzion', 'prim', 'mater', 'collezioni', 'estere']
863;['vend', 'piac', 'grintoso', 'energico', 'riassort']
864;['adob', 'os', 'multimedial', 'conten', 'content']
865;['collezioni', 'creazion', 'accessor', 'campionatur', 'cartell']
719;['carrozzer', 'ex', 'aut', 'verniciatur', 'savon']
597;['vendita', 'ex', 'provinc', 'sistem', 'formazion']
598;['marketing', 'vide', 'grafic', 'sit', 'editing']
609;['banc', 'tip', 'prodott', 'dipendt', 'prevede']
613;['controlling', 'zone', 'eventual', 'ex', 'commerciale']
618;['util', 'ex', 'amministr', 'ms', 'premianti']
619;['prodott', 'ecc', 'würth', 'fiere', 'vendita']
1038;['grafic', 'würth', 'graphic', 'offlin', 'sempr']
535;['cart', 'om', 'express', 'vend', 'venditor']
536;['cart', 'om', 'express', 'vend', 'venditor']
537;['om', 'dialog', 'partner', '03', 'ciampino']
531;['express', 'american', '03', 'italo', 'raggiunti']
404;['immobiliar', 'immobil', 'propriet', 'agent', 'vend']
77;['negoz', 'atelier', 'vis', 'anim', 'prodotti']
37;['cos', 'prend', 'cas', 'spir', 'risult']
825;['relazion', 'cap', 'client', 'negoz', 'moment']
826;['negoz', 'piac', 'bricolag', 'negozi', 'veloce']
827;['negoz', 'far', 'mod', 'piac', 'bricocenter']
945;['merchandiser', 'mod', 'prodott', 'cos', 'architettur']
946;['negoz', 'piac', 'favor', 'iniz', 'condivid']
947;['relazion', 'client', 'cap', 'negozio', 'squadr']
896;['piac', 'estern', 'material', 'comun', 'squadr']
899;['negoz', 'favor', 'giust', 'cune', 'accoglierli']
180;['accessorist', 'telefonia', 'tablet', 'commercial', 'colleghi']
181;['accessorist', 'telefonia', 'tablet', 'commercial', 'colleghi']
455;['etichettatur', 'traduzion', 'test', 'altra', 'commercializz']
701;['potra', 'format', 'gradu', 'percors', 'program']
702;['acquist', 'avvincent', 'uffic', 'buyer', 'ideazion']
978;['immobil', 'ristruttur', 'nuov', 'econom', 'esistent']
979;['offerta', 'repart', 'lavor', 'amministr', 'linguistico']
871;['immobil', 'ristruttur', 'esistent', 'nuov', 'prepost']
880;['stor', 'punt', 'manager', 'vend', 'es']
926;['81', '2015', 'dlgs', 'distribu', 'vend']
927;['punt', 'vend', 'squadr', 'lavasciuga', 'formular']
928;['logist', 'merc', 'piattaform', 'prepar', 'destin']
786;['organizz', 'contabilizz', 'riservatezza', 'elabor', 'lavor']
787;['segreter', 'bilingu', 'direzion', 'gestion', 'organizz']
1382;['format', 'percors', 'universitar', 'gradu', 'vend']
1380;['lidl', 'acquist', '37040', 'ruff', 'vr']
731;['iperstor', 'apprendisti', 'festivo', 'mont', 'oraria']
735;['cass', 'sconto', 'fornire', 'fedeltà', 'erba']
722;['direttor', 'merlin', 'leroy', 'commercial', 'strateg']
723;['propr', 'vendita', 'lisson', 'maps', 'mestiere']
981;['passagg', 'cass', 'accoglit', 'squadr', 'scontrin']
982;['management', 'project', 'chang', 'supply', 'chain']
869;['management', 'project', 'chang', 'supply', 'chain']
870;['bilanc', 'conosc', 'aziendale', 'milanofior', 'redatt']
813;['leggibil', 'spir', 'cortesia', 'scolastico', 'attraenti']
814;['giul', 'torin', 'cors', 'risors', 'esecuzione']
711;['stor', 'manager', 'divent', 'cerc', 'formatori']
712;['entr', 'valori', 'rispecchin', 'neolaur', 'bat']
