User_Id;rated_companies;suggested_companies
2413;['LUXOTTICA BRAZIL LTDA'];"['Employerland' 'Roche UK' 'EVERIS' ""Victoria's secret - Percassi ""
 'Dmail-Percassi']"
2416;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2417;['LUXOTTICA BRAZIL LTDA'];['Tech Data' 'Datalogic' 'Whirlpool' 'Aeroporti di Roma' 'RAI']
2427;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2428;['Employerland'];"[""Victoria's secret - Percassi "" 'Roche UK' 'Cellularline' 'EVERIS'
 'Cerved']"
2431;['Employerland'];"['Università Europea di Roma' 'Cellularline'
 ""Victoria's secret - Percassi "" 'SMOOTH HOTELS' 'Gi Group']"
2432;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2433;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2437;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2438;['LUXOTTICA BRAZIL LTDA'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Employerland' 'Unilever']
2448;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2452;['LUXOTTICA BRAZIL LTDA'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Whirlpool' 'Datalogic']
2457;['Employerland'];['Lottomatica' 'RAI' 'Microsoft' 'Aeroporti di Roma' 'Decathlon']
2459;['LUXOTTICA BRAZIL LTDA'];['Tech Data' 'Datalogic' 'Whirlpool' 'Roche UK' 'Aeroporti di Roma']
