job_ID;similar_ID;similarity_value
1147;[1147  711];[1.         0.37399319]
1169;[1169];[1.]
1170;[1170];[1.]
1121;[1121 1125];[1.         0.32020483]
1122;[1122 1123 1125];[1.         0.65634743 0.36580595]
1123;[1122 1123 1125];[0.65634743 1.         0.36881226]
1124;[1124];[1.]
1125;[1121 1122 1123 1125 1126];[0.32020483 0.36580595 0.36881226 1.         0.44463381]
1126;[1125 1126];[0.44463381 1.        ]
1127;[1127 1035 1036];[1.         0.31492228 0.31528365]
1035;[1127 1035];[0.31492228 1.        ]
1036;[1127 1036];[0.31528365 1.        ]
1190;[1190];[1.]
1191;[1191];[1.]
816;[816 817 818 861 862 938 940];"[1.         1.         1.         1.         1.         0.77909581
 0.77909581]"
817;[816 817 818 861 862 938 940];"[1.         1.         1.         1.         1.         0.77909581
 0.77909581]"
818;[816 817 818 861 862 938 940];"[1.         1.         1.         1.         1.         0.77909581
 0.77909581]"
861;[816 817 818 861 862 938 940];"[1.         1.         1.         1.         1.         0.77909581
 0.77909581]"
862;[816 817 818 861 862 938 940];"[1.         1.         1.         1.         1.         0.77909581
 0.77909581]"
937;[937];[1.]
938;[816 817 818 861 862 938 940];"[0.77909581 0.77909581 0.77909581 0.77909581 0.77909581 1.
 1.        ]"
940;[816 817 818 861 862 938 940];"[0.77909581 0.77909581 0.77909581 0.77909581 0.77909581 1.
 1.        ]"
665;[665 667];[1.         0.57174695]
667;[665 667];[0.57174695 1.        ]
669;[669 863];[1.         0.32025916]
689;[689];[1.]
690;[690];[1.]
797;[797];[1.]
798;[798];[1.]
863;[669 863];[0.32025916 1.        ]
864;[864];[1.]
865;[865];[1.]
719;[719 597];[1.         0.40603105]
597;[719 597];[0.40603105 1.        ]
598;[598];[1.]
609;[609];[1.]
613;[613 618 619];[1.         0.31172256 0.3145821 ]
618;[613 618];[0.31172256 1.        ]
619;[613 619];[0.3145821 1.       ]
1038;[1038];[1.]
535;[535 536 537 531];[1.         0.98546776 0.55238702 0.6205037 ]
536;[535 536 537 531];[0.98546776 1.         0.55190167 0.61995849]
537;[535 536 537 531 389 390];[0.55238702 0.55190167 1.         0.41701147 0.3544138  0.35405264]
531;[535 536 537 531];[0.6205037  0.61995849 0.41701147 1.        ]
404;[404];[1.]
77;[77];[1.]
37;[37];[1.]
825;[825 826 827 946 947 896 899];"[1.         0.64466108 0.69023097 0.41727059 0.80138507 0.31242921
 0.33786144]"
826;[825 826 827 946 947 896 899];"[0.64466108 1.         0.76066287 0.78721705 0.44571331 0.33207826
 0.58283445]"
827;[825 826 827 946 947 896 899];"[0.69023097 0.76066287 1.         0.48865578 0.4639535  0.34590357
 0.36512696]"
945;[945];[1.]
946;[825 826 827 946 947 896 899];"[0.41727059 0.78721705 0.48865578 1.         0.49574375 0.34078541
 0.61809646]"
947;[825 826 827 946 947 896 899];"[0.80138507 0.44571331 0.4639535  0.49574375 1.         0.35459483
 0.32883646]"
896;[825 826 827 946 947 896];[0.31242921 0.33207826 0.34590357 0.34078541 0.35459483 1.        ]
899;[825 826 827 946 947 899];[0.33786144 0.58283445 0.36512696 0.61809646 0.32883646 1.        ]
180;[180 181];[1.         0.97518125]
181;[180 181];[0.97518125 1.        ]
455;[455];[1.]
701;[ 701 1382];[1.         0.71785868]
702;[ 702 1380];[1.         0.67818715]
978;[978 871];[1.         0.70131538]
